date,user,text
Sun May 17 17:32:36 UTC 2009,Trazor1,ShaunWoo hate'n on AiG
Sun May 17 17:35:17 UTC 2009,mimknits,@YarnThing you will not regret going to see Star Trek. It was AWESOME!
Sun May 17 17:35:28 UTC 2009,GeeRen,On my way to see Star Trek @ The Esquire.
Sun May 17 17:35:45 UTC 2009,checkyesjess,Going to see star trek soon with my dad.
Mon May 18 01:13:27 UTC 2009,renano,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.
Mon May 18 01:14:41 UTC 2009,kottkedotorg,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50
Mon May 18 01:14:47 UTC 2009,davidm89,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell
Mon May 18 01:15:17 UTC 2009,livreal,Blink by malcolm gladwell amazing book and The tipping point!
Mon May 18 01:16:12 UTC 2009,mikearosso,Malcolm Gladwell might be my new man crush
Mon May 18 01:18:03 UTC 2009,wendy93639,omg. The commercials alone on ESPN are going to drive me nuts.
Mon May 18 03:11:06 UTC 2009,ClayFranklin,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.
Mon May 18 03:11:58 UTC 2009,cURLTesting,playing with cURL and the Twitter API
Mon May 18 03:12:13 UTC 2009,ringerdrop,Hello Twitter API ;)
Mon May 18 03:12:18 UTC 2009,danserfaty,playing with Java and the Twitter API
Mon May 18 03:12:40 UTC 2009,raykolbe,@morind45 Because the twitter api is slow and most client's aren't good.
Mon May 18 03:13:03 UTC 2009,CarolineVilas,yahoo answers can be a butt sometimes
Mon May 18 05:07:16 UTC 2009,rachelbegins,is scrapbooking with Nic =D
Tue May 19 16:20:46 UTC 2009,leedscentlib,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR
Wed May 20 02:37:09 UTC 2009,sportsgirl505,just changed my default pic to a Nike basketball cause bball is awesome!!!!!
Wed May 20 02:38:27 UTC 2009,MatrixSystems,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding"
Wed May 20 02:38:45 UTC 2009,cadburysgirl,"'Next time, I'll call myself Nike'"
Wed May 20 02:38:50 UTC 2009,AddictedToFresh,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT
Wed May 20 02:39:05 UTC 2009,coreysmbpro,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(
Wed May 20 02:39:28 UTC 2009,PRolivia,Back when I worked for Nike we had one fav word : JUST DO IT! :)
Wed May 20 02:40:23 UTC 2009,ErrantDreams,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9"
Sat May 23 20:43:22 UTC 2009,nikete,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given."
Sun May 24 16:18:48 UTC 2009,bigdigit,"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t"
Sun May 24 16:19:04 UTC 2009,justinbettman,Class... The 50d is supposed to come today :)
Sun May 24 20:48:14 UTC 2009,read0,needs someone to explain lambda calculus to him! :(
Sun May 24 20:48:58 UTC 2009,BAK3R,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.
Sun May 24 20:49:52 UTC 2009,SLICKSPIT,SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......
Sun May 24 20:50:32 UTC 2009,ckwright,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer."
Mon May 25 17:15:01 UTC 2009,souleaterjh,@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!
Mon May 25 17:15:24 UTC 2009,susangao,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9"
Mon May 25 17:15:43 UTC 2009,jimmy_chan2009,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo
Mon May 25 17:17:04 UTC 2009,a_fio,@ work til 6pm... lets go lakers!!!
Mon May 25 17:18:29 UTC 2009,luvslikepi,Damn you North Korea. http://bit.ly/KtMeQ
Mon May 25 17:19:05 UTC 2009,utsagrad123,Can we just go ahead and blow North Korea off the map already?
Mon May 25 17:19:14 UTC 2009,stabotage,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl"
Mon May 25 17:21:08 UTC 2009,zed01,Why the hell is Pelosi in freakin China? and on whose dime?
Mon May 25 17:23:55 UTC 2009,funky_old_man,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!"
Mon May 25 17:25:34 UTC 2009,malcozer,insects have infected my spinach plant :(
Mon May 25 17:26:50 UTC 2009,AntoineTheReaL,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects
Mon May 25 17:27:05 UTC 2009,jonwolpert,"just got back from church, and I totally hate insects."
Mon May 25 17:28:50 UTC 2009,jachshore,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it
Mon May 25 17:29:39 UTC 2009,MamiYessi,omgg i ohhdee want mcdonalds damn i wonder if its open lol =]
Mon May 25 17:31:21 UTC 2009,jvici0us,History exam studying ugh
Mon May 25 17:31:43 UTC 2009,enriquenieto,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good..."
Mon May 25 17:31:45 UTC 2009,Drummermatt_182,"Higher physics exam tommorow, not lookin forward to it much :("
Mon May 25 17:32:11 UTC 2009,filmcriticbeta,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:("
Mon May 25 17:34:40 UTC 2009,lvlocal,Cheney and Bush are the real culprits - http://fwix.com/article/939496
Mon May 25 17:34:51 UTC 2009,QCWofNC,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ
Mon May 25 17:35:23 UTC 2009,jepaco,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg"
Mon May 25 17:37:56 UTC 2009,ImportantQuotes,"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)"
Mon May 25 17:46:06 UTC 2009,fwhamm,is Twitter's connections API broken? Some tweets didn't make it to Twitter...
Mon May 25 17:46:24 UTC 2009,jos897,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :("
Wed May 27 00:34:21 UTC 2009,jystewart,"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too"
Wed May 27 00:34:47 UTC 2009,cfbloggers,jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631
Wed May 27 00:38:56 UTC 2009,CaerusMe,"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT"
Wed May 27 00:39:13 UTC 2009,HallandPartners,Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!
Wed May 27 00:39:21 UTC 2009,suedecrush,"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*"
Wed May 27 00:41:13 UTC 2009,_imageworks,The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!
Wed May 27 00:42:22 UTC 2009,dustinrowley,top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9
Wed May 27 23:49:47 UTC 2009,xzela,zomg!!! I have a G2!!!!!!!
Wed May 27 23:49:59 UTC 2009,mobiledreams,Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl
Wed May 27 23:50:46 UTC 2009,crashfaster,just got a free G2 android at google i/o!!!
Wed May 27 23:51:30 UTC 2009,dragonal,Guess I'll be retiring my G1 and start using my developer G2 woot #googleio
Wed May 27 23:56:56 UTC 2009,mastooo,At GWT fireside chat @googleio
Wed May 27 23:59:18 UTC 2009,maex242,I am happy for Philip being at GoogleIO today
Sat May 30 17:46:39 UTC 2009,specs20,Lakers played great!  Cannot wait for Thursday night Lakers vs. ???
Sun May 31 06:51:14 UTC 2009,BrandKarma,"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8"
Sun May 31 06:51:30 UTC 2009,mattcad,Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK
Sun May 31 06:51:34 UTC 2009,grahamgrimshaw,"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz"
Sun May 31 06:51:44 UTC 2009,nicoleisms,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!
Tue Jun 02 02:54:09 UTC 2009,Cristinellaa,watching Night at The Museum . Lmao
Tue Jun 02 02:54:12 UTC 2009,MzJill,i loved night at the museum!!!
Tue Jun 02 02:54:22 UTC 2009,Lynn_Sky,going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin
Tue Jun 02 02:54:40 UTC 2009,bobster56,just got back from the movies.  went to see the new night at the museum with rachel.  it was good
Tue Jun 02 02:54:44 UTC 2009,jordanforeman,Just saw the new Night at the Museum movie...it was...okay...lol 7\10
Tue Jun 02 02:54:51 UTC 2009,britree,Going to see night at the museum 2 with tall boy
Tue Jun 02 02:55:16 UTC 2009,jellz,@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good
Tue Jun 02 02:55:25 UTC 2009,droherty,no watching The Night At The Museum. Getting Really Good
Tue Jun 02 02:55:39 UTC 2009,sarahbrooke,"Night at the Museum, Wolverine and junk food - perfect monday!"
Tue Jun 02 02:55:49 UTC 2009,jeremyempire,saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!
Tue Jun 02 02:56:01 UTC 2009,MirandaClues,I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.
Tue Jun 02 02:56:25 UTC 2009,RGuad08,Taking Katie to see Night at the Museum.  (she picked it)
Tue Jun 02 02:56:38 UTC 2009,xshallsx,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL
Tue Jun 02 03:00:25 UTC 2009,EconomyUpdates,GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv
Tue Jun 02 03:01:10 UTC 2009,mshbrown,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable
Tue Jun 02 03:02:17 UTC 2009,misschris62,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.
Tue Jun 02 03:05:13 UTC 2009,artbynemo,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha
Tue Jun 02 03:14:36 UTC 2009,windhamgirl,Time Warner cable is down again 3rd time since Memorial Day bummer!
Tue Jun 02 03:15:11 UTC 2009,mmmPi,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection."
Tue Jun 02 03:15:23 UTC 2009,NDEddieMac,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner
Tue Jun 02 03:15:54 UTC 2009,yourboysdot,F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!
Tue Jun 02 03:16:16 UTC 2009,Shazzainla,time warner has the worse customer service ever. I will never use them again
Tue Jun 02 03:16:27 UTC 2009,dstalk,Time warner is the devil. Worst possible time for the Internet to go out.
Tue Jun 02 03:16:37 UTC 2009,ernestalfonso,Fuck no internet damn time warner!
Tue Jun 02 03:16:49 UTC 2009,kaaatiee,time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.
Tue Jun 02 03:17:04 UTC 2009,JasonNegron,I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.
Tue Jun 02 03:17:26 UTC 2009,elphabablue,Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :)
Tue Jun 02 03:17:55 UTC 2009,gabe_rp,Time Warner's HD line up is crap.
Tue Jun 02 03:18:50 UTC 2009,JoeyCircles,is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!
Tue Jun 02 03:22:07 UTC 2009,ScooPost,Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk)
Tue Jun 02 03:23:50 UTC 2009,adamjleach,Time Warner Cable slogan: Where calling it a day at 2pm Happens.
Tue Jun 02 03:24:43 UTC 2009,HYPHYROCKSTAR,"Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3"
Tue Jun 02 03:24:47 UTC 2009,BreakingBizNews,"Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n"
Tue Jun 02 03:24:57 UTC 2009,myfoxdc,myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba
Tue Jun 02 03:25:01 UTC 2009,drlombardo,"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv"
Tue Jun 02 03:27:27 UTC 2009,sinostream,http://xi.gs/04FO GM CEO: China will continue to be key partner
Tue Jun 02 03:27:48 UTC 2009,hammerauto,RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu
Tue Jun 02 03:29:23 UTC 2009,scoralli,Recovering from surgery..wishing @julesrenner was here :(
Tue Jun 02 03:29:53 UTC 2009,sardonnica,"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!"
Tue Jun 02 03:32:14 UTC 2009,BChasnov,Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?
Tue Jun 02 03:32:33 UTC 2009,LILJIZZEL,"THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!"
Tue Jun 02 03:32:45 UTC 2009,giz2000,@kirstiealley my dentist is great but she's expensive...=(
Tue Jun 02 03:33:30 UTC 2009,cmonaussiecmon,@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml
Tue Jun 02 03:33:53 UTC 2009,sorayabouby,is studing math ;) tomorrow exam and dentist :)
Tue Jun 02 03:34:27 UTC 2009,jeffreymodest,my dentist was wrong... WRONG
Tue Jun 02 03:34:39 UTC 2009,yowneh,Going to the dentist later.:|
Tue Jun 02 03:34:58 UTC 2009,CWilliams_Rltr,Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?
Tue Jun 02 04:29:16 UTC 2009,SimpleManJess,NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx
Tue Jun 02 04:29:26 UTC 2009,H3LLGWAR,just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR
Tue Jun 02 04:29:30 UTC 2009,LouisvilleGrads,Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.
Tue Jun 02 04:39:24 UTC 2009,SwainFamily,Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796
Tue Jun 02 04:39:49 UTC 2009,neeeelia,waiting in line at safeway.
Tue Jun 02 04:39:59 UTC 2009,ryanlipert,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?
Tue Jun 02 04:41:03 UTC 2009,evan,Did not realize there is a gym above Safeway!
Tue Jun 02 04:41:07 UTC 2009,ronjon,"@XPhile1908 I have three words for you: ""Safeway dot com"""
Tue Jun 02 04:41:19 UTC 2009,missleigh,Safeway is very rock n roll tonight
Tue Jun 02 04:41:36 UTC 2009,SharkKMV,Bout to hit safeway I gotta eat
Tue Jun 02 04:41:48 UTC 2009,bosZmom,Jake's going to safeway!
Tue Jun 02 04:41:58 UTC 2009,penlynwilson,Found a safeway. Picking up a few staples.
Tue Jun 02 04:42:28 UTC 2009,mobileadgirl,Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w
Tue Jun 02 04:42:34 UTC 2009,phantomzangel,The safeway bathroom still smells like ass!
Tue Jun 02 04:42:46 UTC 2009,BreezB,"At safeway on elkhorn, they move like they're dead!"
Tue Jun 02 06:53:03 UTC 2009,nonstopdiets,Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O
Tue Jun 02 06:53:11 UTC 2009,janelleshanks,Is Eating and Watching Movies....
Tue Jun 02 06:53:27 UTC 2009,hanaho,eating sashimi
Tue Jun 02 06:53:37 UTC 2009,Fiel,is eating  home made yema
Tue Jun 02 06:54:16 UTC 2009,aaindefenzo,eating cake
Thu Jun 04 16:49:55 UTC 2009,CrownRoyal8,i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.
Thu Jun 04 16:52:36 UTC 2009,MrGQ,Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic
Thu Jun 04 16:53:09 UTC 2009,ngngfrancis,iPhone May Get Radio Tagging and Nike  : Recently-released iTunes version 8.2 suggests that VoiceOver functional.. http://tinyurl.com/oq5ctc
Thu Jun 04 16:54:23 UTC 2009,mikelongden,is lovin his Nike  already and that's only from running on the spot in his bedroom
Sun Jun 07 01:12:50 UTC 2009,imgsearch,Launched! http://imgsearch.net  #imgsearch #ajax #jquery #webapp
Sun Jun 07 01:13:52 UTC 2009,teagone,@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.
Sun Jun 07 01:14:08 UTC 2009,marcroberts,RT @jquery: The Ultimate jQuery List - http://jquerylist.com/
Sun Jun 07 01:14:15 UTC 2009,jacobrothstein,I just extracted and open-sourced a jQuery plugin from Stormweight to highlight text with a regular expression: http://bit.ly/ybJKb
Sun Jun 07 01:14:19 UTC 2009,bedroomation,@anna_debenham what was the php jquery hack?
Sun Jun 07 01:14:42 UTC 2009,vmkobs,jQuery Cheat Sheet http://www.javascripttoolbox.com/jquery/cheatsheet/
Sun Jun 07 01:15:04 UTC 2009,NewTechBooks,Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5
Sun Jun 07 03:27:57 UTC 2009,adthomas3,"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style."
Sun Jun 07 03:28:08 UTC 2009,Alfred04654,"RT @blknprecious1: RT GREAT @dbroos ""Someone's sitting in the shade today because someone planted a tree a long time ago.""- Warren Buffet"
Sun Jun 07 03:28:50 UTC 2009,LovelyMiska,Warren Buffet on the economy http://ping.fm/Lau0p
Sun Jun 07 03:29:15 UTC 2009,adamgilmer,"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune"
Sun Jun 07 17:42:47 UTC 2009,PatfaceCatface,"According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*"
Sun Jun 07 17:42:56 UTC 2009,MY_NBA_PLAYOFFS,All-Star Basketball Classic Tuesday Features Top Talent: Chattanooga's Notre Dame High School will play host.. http://bit.ly/qltJA
Sun Jun 07 21:38:16 UTC 2009,rachaelbender,@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2
Sun Jun 07 21:38:42 UTC 2009,aqrinc,"RT Look, Available !Amazon Kindle2 &amp; Kindle DX, Get it Here: http://short.to/87ub The Top Electronic Book Reader Period, free 2 day ship ..."
Sun Jun 07 21:47:01 UTC 2009,davepurcell,Time Warner Road Runner customer support here absolutely blows. I hate not having other high-speed net options. I'm ready to go nuclear.
Sun Jun 07 21:47:20 UTC 2009,MarleyLuv26,Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF!
Sun Jun 07 21:47:33 UTC 2009,acomicbookgirl,@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :)
Sun Jun 07 21:47:42 UTC 2009,MichelleEReagan,OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml.
Sun Jun 07 21:47:50 UTC 2009,jpaje11,"wth..i have never seen a line this loooong at time warner before, ugh."
Sun Jun 07 21:47:56 UTC 2009,JessSlevin,Impatiently awaiting the arrival of the time warner guy. It's way too pretty to be inside all afternoon
Mon Jun 08 00:01:29 UTC 2009,jworthington,Man accosts Roger Federer during French Open http://ff.im/3HCPT
Mon Jun 08 01:58:49 UTC 2009,R0B3rt2,Naive Bayes using EM for Text Classification. Really Frustrating...
Mon Jun 08 06:28:01 UTC 2009,TammyT,We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there.
Mon Jun 08 06:28:05 UTC 2009,elliottng,Investigation pending on death of Stanford CS prof / Google mentor Rajeev Motwani http://bit.ly/LwOUR tip @techmeme
Mon Jun 08 06:28:23 UTC 2009,Shibuki_kun,"I'm going to bed. It was a successful weekend. Stanford, here I come."
Mon Jun 08 06:55:01 UTC 2009,painhatelove,"@KarrisFoxy If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. #d-bags"
